author	description	retweet
Luigi64128	Super Mario Odyssey is my pick for Game of The Year @thegameawards - Live on December 7 https://t.co/QA1o1vMJF6	false
Baconwich	Wasn't interested in a Switch, really.  Got Zelda for Wii U and I'm happy with that choice.  But Mario Odyssey...	false
brizzlebree	RT @geoffkeighley: Nominees for @thegameawards Game of the Year are: Horizon Zero Dawn, Persona 5, @PLAYERUNKNOWN BattleGrounds, Super… 	true
Drdeadlocke	RT @NinSwitchNews: "@TheGameAwards is proud to announce the 102 games and individuals nominated for this year’s awards." →… 	true
Vikachu44	RT @Wario64: The Game Awards nominees: https://t.co/eXIgMNobMa GOTY nominees: • Zelda: Breath of the Wild • Super Mario Odyssey… 	true
pcodymatt	oops. #SuperMarioOdyssey #NintendoSwitch https://t.co/8nHZv3LJ6r	false
mccookie74	@Technoblast649 @thegameawards @AtlusUSA Mario only has a higher chance cause he is more popular. If Mario odyssey was the only Mario game, and Mario was never popular, P5 would easily win	false
Crystallise_	RT @Wario64: The Game Awards nominees: https://t.co/eXIgMNobMa GOTY nominees: • Zelda: Breath of the Wild • Super Mario Odyssey… 	true
filipemiguel180	Super Mario Odyssey is my pick for Best Game Direction @thegameawards - Live on December 7 https://t.co/fFUPdqfYLz	false
ThatoneAstoran	RT @OnlyAfroGames: A buggy incomplete physics engine early access game is probably going to beat both Zelda and Mario in goty. Let tha… 	true
lordofcasuls	RT @OnlyAfroGames: A buggy incomplete physics engine early access game is probably going to beat both Zelda and Mario in goty. Let tha… 	true
ForAReason2Live	RT @troyofathens: Nintendo knew before anyone @playoverwatch #SuperMarioOdyssey #overwatch https://t.co/9FtLSAL1v3	true
hbhb415	RT @troyofathens: Nintendo knew before anyone @playoverwatch #SuperMarioOdyssey #overwatch https://t.co/9FtLSAL1v3	true
GreyTheTick	Seriously. There's more variety in a single level of Mario Odyssey than there is across the entirety of most modern open world games. It's kind of highlighting how fucking ruinous last gen was for game mechanics.	false
BuzzwoleBoys	gamer mode #SuperMarioOdyssey #NintendoSwitch https://t.co/FuJe36wUKh	false
spaceyphoenix	there was a commercial for Mario Odyssey on TV... way to rub it in. 😑	false
RossCatrow	Honestly, things feel a little hopeless right now so I’m going to go drink this High Life and play some Super Mario Odyssey.	false
SkeleMann	RT @OnlyAfroGames: A buggy incomplete physics engine early access game is probably going to beat both Zelda and Mario in goty. Let tha… 	true
Jan58924366	I liked a @YouTube video https://t.co/e46VVQD8ri SUPER MARIO ODYSSEY (Honest Game Trailers)	false
iThirst4Blood	RT @troyofathens: Nintendo knew before anyone @playoverwatch #SuperMarioOdyssey #overwatch https://t.co/9FtLSAL1v3	true
ZaelliaFeneame	Oh, what's that? You liked how Mario 64's long jump was graceful and could grab onto ledges? I got a better idea! How about you smash your long jump into EVERY SINGLE WALL EVER and drop to your doom. Yeah, that's better, you're right. Thanks Mario Odyssey.	false
KingKlarify	I liked a @YouTube video https://t.co/cFhTurlsYx Super Mario Odyssey Review	false
zoroarkrules25	I liked a @YouTube video https://t.co/OMEBpvSWG1 SUPER MARIO ODYSSEY (Honest Game Trailers)	false
xKaruyu	It's a good thing that GOTY is last, because if PUBG wins GOTY, I would stop watching right there https://t.co/qQOnK7pfD0	false
hyperdelusion	damn fellas nier didn’t make it https://t.co/KbnWMBturi	false
RHAF_HQ	Cappy Can Kill Mario Thanks to a Weird Super Mario Odyssey Glitch https://t.co/pFS1HuILWJ	false
JohnLondon1984	I liked a @YouTube video https://t.co/H8vslJFAEw SUPER MARIO ODYSSEY Part 10 - GIANT DRAGON FIGHT - OMG!	false
Luigi64128	Super Mario Odyssey is my pick for Best Audio Design @thegameawards - Live on December 7 https://t.co/QA1o1vMJF6	false
Lpshuskey111	RT @NintendoAmerica: Mario gets a new ally in his latest globe-trotting adventure. Meet Cappy in #SuperMarioOdyssey on #NintendoSwitch!	true
TheFoxer124	RT @Wario64: The Game Awards nominees: https://t.co/eXIgMNobMa GOTY nominees: • Zelda: Breath of the Wild • Super Mario Odyssey… 	true
jonasnewhouse	I haven't stopped thinking about how much I love Super Mario Odyssey https://t.co/TymfQxZk4h	false
Cyberbully619	I liked a @YouTube video https://t.co/5HVuuAXkp5 NEW DANK CITY | Super Mario Odyssey - Part 4	false
UnknownNeo	RT @PressStartKofi: “Why is Super Lucky’s Tale reviewed so low and Mario Odyssey so high? They are basically the same game”  Me: ummm https…	true
memearachi	RT @OnlyAfroGames: A buggy incomplete physics engine early access game is probably going to beat both Zelda and Mario in goty. Let tha… 	true
dogqube	i dont wanna spoil any of the final challenges of mario odyssey but they make me want to break my own legs in frustration in a way no other game ever has	false
persauna	RT @NichtSascha: I found a glitch in #SuperMarioOdyssey's 2 Player-mode that lets Cappy kill Mario when capturing a Piranha Plant.… 	true
jurgieboiii	RT @troyofathens: Nintendo knew before anyone @playoverwatch #SuperMarioOdyssey #overwatch https://t.co/9FtLSAL1v3	true
CarroAnimates	RT @BuzzwoleBoys: gamer mode #SuperMarioOdyssey #NintendoSwitch https://t.co/FuJe36wUKh	true
SuperDS64	RT @troyofathens: Nintendo knew before anyone @playoverwatch #SuperMarioOdyssey #overwatch https://t.co/9FtLSAL1v3	true
